Date,Togo,Algeria,Senegal,Morocco,Weigh_Feeder_rate_ A(TPH),Weigh_feeder_rate_B(TPH),Ball_mill_amps,MILL_FEED_END_BRNG_TEMP(°C),MILL_DISCH_END_BRNG_TEMP(°C),PINION_DE_BRNG_TEMP(°C),MILL_FEED_END_BRNG_TEMP(°C),MILL_DISCH_END_BRNG_TEMP(°C),PINION_NDE_BRNG_TEMP(°C),BALL_MILL_VENT_SYS_TEMP(°C),BALL_MILL_VENT_FAN_AMPS,SCREW_CONV _ AMPS(Ball mill Outlet),GR_Silo_level(%),Ball_mill_stack_SPM,Plant_air_pressure(kg/cm2),BAG_FLTR_SUC_PRESSURE(mmWC),FAN_SUC_PRESSURE(mmWC),BAG_FILTER_DP(mmWC),GRS_AIR_SLIDE_BLWR_CURRENT_AMPS,BALL_MILL_AIRSLIDE_BLWR _AMPS,BALL_MILL_VIBRATION_A(mm/s),BALL_MILL_VIBRATION_B(mm/s),BALL_MILL_VIBRATION_C(mm/s),BALL_MILL_VIBRATION_D(mm/s),"BALL_MILL_WND_TEMP_A(°C)
",BALL_MILL_WND_TEMP_B(°C),BALL_MILL_WND_TEMP_C(°C),BALL_MILL_WND_TEMP_D(°C),BALL_MILL_WND_TEMP_E(°C),BALL_MILL_WND_TEMP_F(°C),HP_LUBR_OIL_PRESSURE_1 (kg/cm2),HP_LUBR_OIL_PRESSURE_2(kg/cm2),MAIN_GEARBOX_LUBE_OIL_PRESSURE(kg/cm2),LUBR_OIL_RESV_LVL(%),LUBR_OIL_RESV_TEMP(°C),SCREW_CONV _ CURRENT(Amps),BUCKET_ELEVATOR_CURRENT(Amps),T- (% Moisture content in rock),T- (% P2O5 in rock),T- (BPL in rock (P2O5 x 2.185)),T- (% Cao in rock),T- (% Fe2O3),T- (% Al2O3),T- (% MgO),T- (% F),T- (Cl),T- (% SiO2),T- (% Organic Carbon),T- (CaO / P2O5),T- (F / SiO2),T- (F / P2O5),T- (MER),T- (> 420 microns),T- (420  355 microns),T- (355  212 microns),T- (212  150 microns),T- (150  75 microns),T- (< 75 microns),T- (Bulk Density Kg/Cft),A- (% Moisture content in rock),A- (% P2O5 in rock),A- (BPL in rock (P2O5 x 2.185)),A- (% Cao in rock),A- (% Fe2O3),A- (% Al2O3),A- (% MgO),A- (% F),A- (Cl),A- (% SiO2),A- (% Organic Carbon),A- (CaO / P2O5),A- (F / SiO2),A- (F / P2O5),A- (MER),A- (> 420 microns),A- (420  355 microns),A- (355  212 microns),A- (212  150 microns),A- (150  75 microns),A- (< 75 microns),A- (Bulk Density Kg/Cft),S- (% Moisture content in rock),S- (% P2O5 in rock),S- (BPL in rock (P2O5 x 2.185)),S- (% Cao in rock),S- (% Fe2O3),S- (% Al2O3),S- (% MgO),S- (% F),S- (Cl),S- (% SiO2),S- (% Organic Carbon),S- (CaO / P2O5),S- (F / SiO2),S- (F / P2O5),S- (MER),S- (> 420 microns),S- (420  355 microns),S- (355  212 microns),S- (212  150 microns),S- (150  75 microns),S- (< 75 microns),S- (Bulk Density Kg/Cft),M- (% Moisture content in rock),M- (% P2O5 in rock),M- (BPL in rock (P2O5 x 2.185)),M- (% Cao in rock),M- (% Fe2O3),M- (% Al2O3),M- (% MgO),M- (% F),M- (Cl),M- (% SiO2),M- (% Organic Carbon),M- (CaO / P2O5),M- (F / SiO2),M- (F / P2O5),M- (MER),M- (> 420 microns),M- (420  355 microns),M- (355  212 microns),M- (212  150 microns),M- (150  75 microns),M- (< 75 microns),M- (Bulk Density Kg/Cft),> 35,35 to 200,< 200,X1,X2,X3,X4,X5,X6
06-04-2024 02:48,40,50,10,0,31.78850772,47.33246366,81.37487071,45.62131678,49.25423382,51.88477395,43.78852613,45.77081721,61.02802257,42.67793648,72.82767678,28.55852758,81.48499816,1.032661468,5.995677251,54.917188,514.6716511,459.7544631,12.17428673,12.12983007,0.465177583,0.672077974,0.751869575,0.605882079,62.40249401,62.19253782,61.00823595,61.41340299,63.83384757,62.96997718,29.0162522,19.14684855,1.816234381,81.297514,43.54759831,28.09052724,26.36013775,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 02:49,40,50,10,0,31.79153014,47.19978097,80.57508068,45.61292007,49.24420758,51.87070477,43.78365264,45.73114673,61.01156432,42.68519824,72.83913565,28.51586322,81.48801034,1.09880577,6.365930678,55.27303704,514.4014336,459.1283966,12.18039202,12.13811734,0.473782251,0.767638809,0.751501109,0.593513529,62.42339383,62.23536847,61.02821239,61.43434849,63.86121524,62.99563089,29.1408003,19.16936287,1.817055011,81.41339769,43.57623392,28.12746397,24.3747804,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 02:50,40,50,10,0,31.74327662,47.18085475,79.51892061,45.62272568,49.25225832,51.87480168,43.78410714,45.74140246,61.02958622,42.6862893,72.64829518,28.48898082,81.48665163,1.0357806,6.67556943,55.27033653,514.2035113,458.9331748,12.13664888,12.1003521,0.453724178,0.729626064,0.751586707,0.590269226,62.47815524,62.26378297,61.07524147,61.46762322,63.90239412,63.04783103,29.18536282,19.18234175,1.812278893,81.43555917,43.59088269,28.19761223,24.90674756,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 02:51,40,50,10,0,31.84904297,47.26499934,81.06097378,45.61378875,49.26623777,51.86734004,43.76794674,45.72690533,61.01461274,42.68439574,72.75404295,28.52927146,81.48756217,1.030759396,6.225801699,55.29986174,514.3942552,459.0943935,12.1819472,12.1447011,0.462017457,0.767316389,0.751559861,0.498557107,62.50174527,62.28792363,61.0829272,61.47429812,63.91991284,63.06131506,29.16821347,19.13986002,1.806792757,81.56416526,43.60904368,28.17850765,25.01622333,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 02:52,40,50,10,0,31.77154876,47.36689137,81.47571991,45.61829263,49.23559872,51.84098571,43.74630147,45.74063764,60.99780162,42.67482557,72.59968713,28.44393008,81.48684983,1.038224887,6.587531491,53.7422014,514.189836,460.4476346,12.10332989,12.10019577,0.391890207,0.72496144,0.75102505,0.582982443,62.53754703,62.33157172,61.09813832,61.52035303,63.96162273,63.1013515,29.17549191,19.15407773,1.810287566,81.48637372,43.62898389,28.19296927,26.74201902,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 02:53,40,50,10,0,31.98533222,47.36892263,79.41987085,45.60871583,49.24573295,51.84409832,43.77109485,45.75709574,60.98538296,42.67848442,72.29574372,28.35973888,81.48546526,1.032233638,5.936389732,52.16730356,515.9987346,463.8314311,12.06160326,12.07197499,0.518680738,0.763362755,0.751101096,0.597226903,62.57057748,62.35610515,61.14076656,61.53273427,63.98621902,63.13332348,29.22699926,19.16927612,1.80630382,81.46595379,43.64584257,28.24375965,25.28151181,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 02:54,40,50,10,0,31.78002553,47.38901874,81.25696503,45.61028438,49.23777359,51.84100576,43.76530529,45.72562346,60.99031242,42.68929195,72.16464889,28.40150676,81.49171985,1.045563344,6.510766175,51.52423261,516.1727555,464.6485229,12.08800258,12.09744475,0.500922842,0.726631646,0.75105089,0.536790047,62.59424608,62.39270503,61.16188856,61.56024452,64.02584298,63.16166809,29.23014636,19.14522944,1.802905926,81.34968707,43.65109917,28.16848441,25.99595932,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 02:55,40,50,10,0,32.0844555,47.30360385,80.88634342,45.60292747,49.25126325,51.84484732,43.76541063,45.74309718,61.0091953,42.70127856,72.22365297,28.35912555,81.48456637,1.034358398,6.676534807,52.28845027,515.8350165,463.5465663,12.02612819,12.07754924,0.461209166,0.648704823,0.751090113,0.587693881,62.61802699,62.42276595,61.16495271,61.57144364,64.04583102,63.19149823,29.20742577,19.18878235,1.801132683,81.34274203,43.64751792,28.2245084,24.59853038,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 02:56,40,50,10,0,31.70911749,47.31364432,80.16995243,45.60592532,49.249374,51.82401194,43.75021759,45.75038336,61.01115724,42.70436631,72.14091831,28.30699753,81.48416296,1.029831256,5.995620765,52.7633325,515.1067214,462.3433889,11.98834791,12.03109626,0.456298444,0.762989327,0.751977083,0.520947742,62.66473015,62.44173085,61.20583455,61.60588528,64.08029103,63.21785807,29.26284466,19.13020603,1.802842302,81.32556154,43.6489285,28.0915349,26.03258746,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 02:57,40,50,10,0,31.94367433,47.43181661,80.50876964,45.60356896,49.24255799,51.81916554,43.75549408,45.73324194,61.01519041,42.70381792,72.29430666,28.33861257,81.48377078,1.057024412,6.642741154,52.62932308,516.6537141,464.0243911,12.05390907,12.07236187,0.477774881,0.708060815,0.751491402,0.568708638,62.67956794,62.46175049,61.22593861,61.62960391,64.11439986,63.25183066,29.23681221,19.17046402,1.807702426,81.41845313,43.65450729,28.05832602,25.61204114,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 02:58,40,50,10,0,31.52043272,47.32134,81.75297479,45.60271234,49.24345767,51.81645069,43.75188232,45.75144339,61.0111044,42.70344646,73.11026944,28.60134076,81.48732914,1.098938815,6.420672575,53.6804071,516.7065906,463.0261835,12.16407068,12.2125235,0.441333044,0.755303136,0.751154801,0.56865827,62.70657832,62.50237715,61.24444547,61.65552366,64.15226653,63.30339787,29.24807031,19.17303907,1.798142495,81.36494193,43.66477974,28.15261429,25.83297897,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 02:59,40,50,10,0,31.73856158,47.40955423,81.11562739,45.60325589,49.23020168,51.81408609,43.75013048,45.72331377,61.02371513,42.71293565,73.40907068,28.6365735,81.49408962,1.097527692,5.897595218,54.49568421,516.6197956,462.1241114,12.22962265,12.27059362,0.44085638,0.76532285,0.75127267,0.517928502,62.7205685,62.51030365,61.28108148,61.67663421,64.15320613,63.30842921,29.29013964,19.16233014,1.797713699,81.52883762,43.67648763,28.04002931,25.85283864,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 03:00,40,50,10,0,31.55751372,47.39578347,81.49181193,45.60626581,49.24223552,51.8198304,43.74517189,45.71976365,61.00726556,42.67958586,73.1405653,28.57849148,81.48866265,1.036287061,6.849862515,53.09607187,516.1868255,463.0907536,12.14947825,12.20554304,0.474002399,0.735126064,0.751843182,0.582677893,62.75509362,62.52401503,61.30570215,61.71012996,64.20027492,63.34589627,29.31383079,19.22547849,1.796505031,81.43173892,43.67598845,28.25829734,26.12519326,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 03:01,40,50,10,0,31.7626432,47.43854929,81.60782078,45.60929344,49.24767811,51.82440555,43.75240713,45.73156997,61.00465859,42.70122427,73.25131028,28.69210058,81.48219788,1.035410449,6.185311258,52.86431615,516.0828625,463.2185464,12.24300811,12.27216495,0.445990588,0.692339341,0.751497443,0.494590381,62.77612721,62.56020592,61.33327049,61.73754784,64.21547938,63.35931608,29.32328718,19.17371469,1.795132917,81.41520939,43.67924875,28.20129051,25.59863123,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 03:02,40,50,10,0,31.75159717,47.35428344,80.7181796,45.61967233,49.24003931,51.81029587,43.74016234,45.73919607,61.00559449,42.69795118,73.65673363,28.75136353,81.49130746,1.037170329,5.706352597,53.4132022,517.0085941,463.5953919,12.28790328,12.31127444,0.43194142,0.701847662,0.749289783,0.558099376,62.80103763,62.55603849,61.36076215,61.74615249,64.2178827,63.3655697,29.30681085,19.19405817,1.798562097,81.37346285,43.70169047,28.18812687,25.16100016,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 03:04,40,50,10,0,31.65911164,47.30628347,82.37419932,45.61606881,49.23127853,51.80036415,43.74693411,45.74645243,61.00666918,42.71657119,73.56858541,28.84439815,81.49193536,1.036491738,6.347514677,54.02709358,515.8095436,461.78245,12.30302575,12.32974563,0.453803188,0.762452656,0.751393645,0.524611428,62.82566716,62.61137994,61.3824911,61.77671318,64.25995763,63.40316628,29.3331742,19.20440096,1.790218997,81.46845886,43.74084859,28.13439981,25.8735505,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 03:05,40,50,10,0,31.6153162,47.31979661,80.36868731,45.60272146,49.22478455,51.77337713,43.73526183,45.72358523,60.99450497,42.72516918,73.20240143,28.63261332,81.49047583,1.033126461,6.442271585,53.43089415,515.5092474,462.0783532,12.20443376,12.23167814,0.466621089,0.760058336,0.741322182,0.624234589,62.83147613,62.62344797,61.41131077,61.79966562,64.26653732,63.41861554,29.33427228,19.23523031,1.78867666,81.49443168,43.75719766,28.11963657,26.91860149,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 03:06,40,50,10,0,31.61608653,47.28079003,80.61187921,45.60130332,49.21773664,51.77140335,43.74005473,45.71211903,61.00559237,42.7427264,72.82938197,28.54847491,81.48460129,1.032599704,6.691431105,53.62689126,515.4354403,461.8085491,12.1385707,12.16776567,0.443127682,0.709740284,0.750236433,0.501976475,62.84289809,62.63569057,61.41765193,61.81448342,64.29630759,63.44704896,29.36890931,19.20924135,1.793614431,81.47237602,43.77965802,28.3369382,25.27098514,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 03:07,40,50,10,0,31.68342304,47.47731502,81.82728609,45.59472002,49.21438769,51.76379151,43.7297748,45.71279812,61.01108907,42.74281248,72.61141451,28.45716601,81.48555391,1.161346359,6.005524638,54.48970842,515.6720405,461.1823321,12.10458394,12.12614401,0.441796379,0.771783205,0.752244127,0.540467865,62.86817354,62.63981653,61.43495174,61.83101349,64.31563897,63.44750343,29.37296337,19.22585823,1.78806892,81.52974391,43.78884604,28.25922863,27.26223149,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 03:08,40,50,10,0,32.0003916,47.2483037,81.36801822,45.60338354,49.24248007,51.79485327,43.74011264,45.72619682,61.00932937,42.75528361,72.71665726,28.42774765,81.48768743,1.161002782,6.113019591,53.86918636,515.6398703,461.7706839,12.10316464,12.12774036,0.470017667,0.770068511,0.751270269,0.608901108,62.89816759,62.67800907,61.45351558,61.847545,64.33362634,63.48043689,29.38787519,19.24403632,1.78650068,81.34999982,43.80876271,28.17452815,24.0091986,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 03:09,40,50,10,0,31.76606396,47.17120535,80.08809428,45.60031417,49.22829069,51.78431344,43.73138064,45.7289577,61.00432805,42.77594174,72.41835403,28.37173967,81.49185075,1.20001108,6.893220254,54.33998492,515.4352401,461.0952552,12.04164368,12.05691588,0.395735477,0.671610804,0.751942596,0.603048074,62.89614903,62.66903329,61.46479351,61.85384974,64.33843865,63.48705827,29.38072615,19.26317708,1.78546565,81.37438527,43.81794348,28.12713858,25.71142626,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
06-04-2024 03:10,40,50,10,0,31.94033959,47.29797504,80.75190631,45.59043323,49.21082245,51.7885171,43.72598935,45.7156549,60.98693288,42.79016064,72.46642291,28.38769147,81.48501774,1.098285869,6.245818725,53.41101165,515.2263771,461.8153655,12.01886668,12.054525,0.490186639,0.723439374,0.749347833,0.569675849,62.92947321,62.71117217,61.48635333,61.88323721,64.38897137,63.52799247,29.44907161,19.25405218,1.784924992,81.41201087,43.83306696,28.04840477,26.55347482,2.69,35.82,78.27,49.82,1.45,1.03,0.06,3.94,276,4.26,0.09,1.391,0.925,0.11,0.070910106,15.3,3.1,26.4,23.3,22.8,9.1,42.87,1.01,29.75,65,49.65,0.46,0.44,0.81,3.77,243,1.7,0.27,1.669,2.218,0.127,0.057478992,17.8,14.8,35.2,18.8,8.8,4.6,50.95,3.12,33.87,74,45.63,3.6,1.28,0.06,3.09,127,9.88,0.11,1.347,0.313,0.091,0.145851786,22.5,10.5,15,7,23,8.5,7.4,,,,,,,,,,,,,,,,,,,,,,,2.2,56.4,41.4,17.27,9.69,29.66,19.42,15.82,6.79
